Event	ID	Name			Wwise Object Path	Notes
	143520528	Play_Unit_Walking			\Player_Unit\Play_Unit_Walking	
	290037920	Play_Niles_Ability			\Player_Unit\Play_Niles_Ability	
	491678864	Play_Opening_Theme			\Music\Play_Opening_Theme	
	495033984	Play_Turn_Manipulation_Toggle			\Player_Unit\Play_Turn_Manipulation_Toggle	
	701627935	Play_Estelle_Ability			\Player_Unit\Play_Estelle_Ability	
	786024383	Play_Page_Turn			\Player_Unit\Play_Page_Turn	
	990444947	Play_Watercolour			\Player_Unit\Play_Watercolour	
	1017112381	Play_Ruined_City_Theme			\Music\Play_Ruined_City_Theme	
	1114270429	Play_Battlefield_Cursor			\Player_Unit\Play_Battlefield_Cursor	
	1987360222	Stop_Unit_Walking			\Player_Unit\Stop_Unit_Walking	
	2116791127	In_Combat			\Music\In_Combat	
	3162566204	Out_Of_Combat			\Music\Out_Of_Combat	
	3399001768	Play_Mountain_Trail_Theme			\Music\Play_Mountain_Trail_Theme	

State Group	ID	Name			Wwise Object Path	Notes
	1071758680	CombatState			\Default Work Unit\CombatState	

State	ID	Name	State Group			Notes
	748895195	None	CombatState			
	2116791127	In_Combat	CombatState			
	2876317275	InPauseMenu	CombatState			
	3162566204	Out_Of_Combat	CombatState			

Custom State	ID	Name	State Group	Owner		Notes
	405140092	InPauseMenu	CombatState	\Interactive Music Hierarchy\Music\Mountain Trail		

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7216216	Estelle_Ability	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Estelle_Ability_10C4C929.wem		\Actor-Mixer Hierarchy\Estelle Ability\Estelle_Ability		292348
	40395153	Watercolour	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Watercolour_10C4C929.wem		\Actor-Mixer Hierarchy\Watercolour\Watercolour		226400
	41329587	Turn_Manipulation	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Turn_Manipulation_10C4C929.wem		\Actor-Mixer Hierarchy\Turn Manipulation\Turn_Manipulation		165228
	61428667	Menu_Deselect	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Menu_Deselect_10C4C929.wem		\Actor-Mixer Hierarchy\Menu Deselect\Menu_Deselect		354368
	100252331	Battlefield_Cursor	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Battlefield_Cursor_10C4C929.wem		\Actor-Mixer Hierarchy\Battlefield Cursor\Battlefield_Cursor		16960
	131357069	Positive_Hit	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Positive_Hit_10C4C929.wem		\Actor-Mixer Hierarchy\Positive Hit\Positive_Hit		169024
	270173784	Unit_Despawn	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Unit_Despawn_10C4C929.wem		\Actor-Mixer Hierarchy\Unit Despawn\Unit_Despawn		202816
	287664202	UI_Sliding	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\UI_Sliding_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sliding\UI_Sliding		139760
	316638233	Negative_Hit-02	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Negative_Hit-02_10C4C929.wem		\Actor-Mixer Hierarchy\Negative Hit\Negative Hit\Negative_Hit-02		326156
	318590596	Helena_Ability	C:\Users\kylet\Documents\GitHub\PDT-2021-Project\PDT-2021-Project_WwiseProject\.cache\Mac\SFX\Helena_Ability_10C4C929.wem		\Actor-Mixer Hierarchy\Helena Ability\Helena_Ability		346840
